"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.03852552939522e-22,0.678780845829327,0.198,0.128,2.57554331290014e-20,"4","Deptor"
2.602300860371e-14,0.465205318078205,0.259,0.196,6.45370613372008e-12,"4","Syt17"
6.05454465244957e-08,0.758543762916555,0.371,0.371,1.50152707380749e-05,"4","Nwd2"
1.36404754492662e-07,0.334438748937755,0.171,0.132,3.38283791141803e-05,"4","Stard5"
2.68949693299567e-07,0.264915541592705,0.28,0.234,6.66995239382926e-05,"4","Gli3"
0,6.27460179137167,0.903,0.057,0,"5","Dcn"
0,4.27078048289552,0.918,0.09,0,"5","Igf2"
0,7.43710447403233,0.753,0.017,0,"5","Aldh1a2"
0,6.01808081888714,0.747,0.041,0,"5","Col1a1"
0,3.25479286096597,0.864,0.215,0,"5","Nr2f2"
0,6.75538850589825,0.631,0.025,0,"5","Fmod"
0,5.605789657606,0.633,0.034,0,"5","Cyp1b1"
0,3.6687340660412,0.634,0.066,0,"5","Slc13a4"
0,2.3158128161482,0.743,0.176,0,"5","Pdgfra"
0,3.20298259154885,0.755,0.199,0,"5","Fn1"
0,5.3916732964745,0.56,0.037,0,"5","Gjb2"
0,5.81449698239064,0.502,0.025,0,"5","Spp1"
0,3.10711930413831,0.585,0.119,0,"5","Ccn2"
0,2.77151722259793,0.563,0.132,0,"5","Acvrl1"
0,2.55002940712853,0.58,0.172,0,"5","Pecam1"
0,3.00637136375009,0.478,0.092,0,"5","Cd93"
0,2.21025638376438,0.63,0.253,0,"5","Ly6a"
0,4.786841571373,0.43,0.088,0,"5","Acta2"
0,2.14991516816417,0.521,0.181,0,"5","Col6a1"
0,2.28639189511476,0.489,0.157,0,"5","Kdr"
0,1.99501694299182,0.479,0.149,0,"5","Cldn5"
0,2.51147853454083,0.407,0.107,0,"5","Fgd5"
0,2.54125016338783,0.381,0.111,0,"5","Carmn"
0,5.12616779403799,0.159,0.016,0,"5","Pln"
1.33002471860464e-320,1.8523767005839,0.49,0.179,3.2984613021395e-318,"5","Adgrl4"
3.16296999631816e-309,2.23050673022101,0.323,0.085,7.84416559086904e-307,"5","Slfn5"
1.18360474216233e-281,2.1063822506303,0.338,0.099,2.93533976056257e-279,"5","Mecom"
3.20339210723882e-253,2.21541514952177,0.281,0.076,7.94441242595227e-251,"5","Sox17"
5.23753270963124e-246,1.94544861649598,0.649,0.405,1.29890811198855e-243,"5","Gfap"
6.15350888078685e-234,2.12812340815287,0.232,0.057,1.52607020243514e-231,"5","Prph"
1.09249181473697e-221,2.02315535730197,0.282,0.083,2.70937970054769e-219,"5","Paqr5"
6.75266593851729e-213,2.26063664254194,0.591,0.367,1.67466115275229e-210,"5","Lyz2"
1.54352649951353e-196,1.27741216523154,0.763,0.613,3.82794571879357e-194,"5","Igfbp5"
4.76129060947562e-191,1.15005395070092,0.562,0.285,1.18080007114995e-188,"5","Cobll1"
1.11881999771181e-183,1.74166675357545,0.379,0.159,2.7746735943253e-181,"5","Angpt1"
3.92054656880917e-146,1.67026741904878,0.25,0.088,9.72295549064674e-144,"5","Zfp366"
2.43861766016157e-135,0.914803882645177,0.506,0.277,6.04777179720071e-133,"5","Nrp2"
7.02136672583359e-118,1.62759075076757,0.258,0.104,1.74129894800673e-115,"5","Emcn"
6.23019828940427e-111,1.77672894045246,0.177,0.059,1.54508917577226e-108,"5","Cd44"
3.2320394380391e-97,1.69230418920669,0.216,0.087,8.01545780633698e-95,"5","Adamts2"
5.70059642803082e-92,0.967163699990385,0.613,0.42,1.41374791415164e-89,"5","Igfbp4"
8.98025166545773e-90,1.25997010639116,0.231,0.099,2.22710241303352e-87,"5","Nostrin"
1.90203972213325e-80,1.57119775055619,0.167,0.064,4.71705851089046e-78,"5","Ror1"
4.43886986809871e-73,1.30647264348318,0.198,0.086,1.10083972728848e-70,"5","Sema3d"
